frame,start_myr,end_myr,nodes,plates,step_total,plate_shift,plate_deform,faults,topology_changes,climate_erosion_hydrology,volcanism,resource_formation,sea_level,step_other,render,decode_encode,frame_total
1,0.0,1.0,130597,19,36.933170457952656,4.1602795901708305,11.465835170645732,6.776386626064777,0.263998584006913,7.6844488739734516,0.205825959041249,0.37277895497391,2.6331748320371844,3.3704418670386076,2.447774957981892,0.03262724995147437,39.41469533398049
2,1.0,2.0,130192,20,42.52770541695645,4.2145077614695765,12.686801345669664,6.795312665984966,0.6092086231219582,7.969621833064593,0.41193625004962087,0.37741953902877867,1.9712588319089264,7.4916385666583665,1.848097542009782,0.024798374972306192,44.40290020901011
3,2.0,3.0,130454,24,44.56769241701113,4.592587838182226,13.83548734075157,7.8336963769979775,0.514607168850489,8.125735166016966,0.5208174169529229,0.4127339590340853,2.026516958954744,6.70551019127015,1.8272357910173014,0.023858541972003877,46.4205499169766
4,3.0,4.0,130111,24,50.205903916968964,4.636853138625156,14.003490679431707,8.082744372019079,0.8377768740756437,8.285173709038645,0.5269498730194755,0.41623708099359646,1.9501410030643456,11.466537186701316,1.7883081250474788,0.024672458006534725,52.020092457998544
5,4.0,5.0,130506,25,47.69574354198994,4.615389054699335,14.83448810124537,8.143529666063841,0.6890557510196231,8.217453166958876,0.6065542919677682,0.41464908298803493,1.973132460087072,8.20149196696002,1.8902800839859992,0.02502366597764194,49.613528791000135
6,5.0,6.0,130173,25,53.933738541963976,4.66453726158943,14.754917561775073,8.140605915803462,1.0061294991173781,8.257136834959965,0.6128802070743404,0.4122239999123849,2.0444988349918276,14.040808426740114,1.8124186669592746,0.025642874999903142,55.77434041700326
7,6.0,7.0,130636,27,53.021749957988504,4.833457890723366,15.910969101940282,8.658638624998275,0.8613654170185328,8.550937918073032,0.6243129599606618,0.428003624023404,2.008528333972208,11.145536087278742,1.8637902500340715,0.025825040997006,54.914708916970994
8,7.0,8.0,130276,27,58.62979129201267,4.90365114324959,15.577574647730216,8.593796874105465,1.2735693759750575,8.30785966583062,0.5635117091005668,0.4292578349704854,2.0562480430235155,16.924321998027153,1.701747749990318,0.02543212502496317,60.358181500050705
9,8.0,9.0,130865,28,56.43565649999073,4.961221681267489,16.519734020053875,8.731763166026212,1.2430044149514288,8.379515333974268,0.7206379590788856,0.43784533499274403,2.0081746670184657,13.43375992262736,1.67829225002788,0.027748959022574127,58.142943374987226
10,9.0,10.0,130617,28,64.80416966695338,5.087361851299647,16.58288946247194,8.748875332879834,1.6770620819879696,8.471426540112589,0.6254536260967143,0.4433201681240462,2.0916367901372723,21.076143813843373,1.6796284170122817,0.02492187498137355,66.51001999998698
11,10.0,11.0,131163,28,60.059976541029755,5.063125394866802,17.24811018136097,8.720072918978985,1.35763212305028,8.391471331997309,0.690666624926962,0.4475999989081174,2.069733459095005,16.071564507845324,1.6412887089536525,0.02533041703281924,61.727895084011834
