         9266571789 function calls (8887106715 primitive calls) in 6283.373 seconds

   Ordered by: cumulative time
   List reduced from 4082 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      600    0.723    0.001   60.237    0.100 climate.py:216(_sample_elevation_and_crust)
    15240    1.036    0.000   58.342    0.004 plates.py:1519(_collect_all)
1843140254   58.280    0.000   58.280    0.000 plates.py:421(plate_id)
 10109886   24.351    0.000   54.393    0.000 geometry.py:42(normalize)
1115675/1023721    5.571    0.000   50.934    0.000 {built-in method builtins.sum}
      660    0.122    0.000   50.773    0.077 biomes.py:979(_smooth_biome_classify)
      600    0.172    0.000   50.694    0.084 volcanism.py:62(apply_volcanic_activity)
 58715956   18.943    0.000   49.734    0.000 fromnumeric.py:1359(argmin)
      600   18.397    0.031   49.733    0.083 lakes.py:368(build_lake_hierarchy)
    31499   32.881    0.001   49.594    0.002 mantle.py:83(flow_at)
   330067    2.101    0.000   49.082    0.000 geometry.py:297(points_in_spherical_polygon)
  1016694    0.397    0.000   49.064    0.000 plates.py:1168(node_count)
  8250634   32.556    0.000   48.538    0.000 lithosphere.py:129(isostatic_elevation)
    18320   10.013    0.001   46.343    0.003 faults.py:1239(fault_influence)
 43648822   25.895    0.000   45.568    0.000 numeric.py:323(full)
       60    7.245    0.121   44.190    0.736 biomes.py:860(classify_biomes_soft)
100412122   10.756    0.000   43.424    0.000 plates.py:1169(<genexpr>)
  4049127   15.127    0.000   41.743    0.000 elevation_lines.py:600(replace)
  4408304   20.619    0.000   39.428    0.000 rheology.py:87(plastic_strain_rate_per_myr)
     5405    2.804    0.001   38.995    0.007 lithosphere_plate.py:1879(split)
  2584460   38.328    0.000   38.328    0.000 {built-in method _thread.start_joinable_thread}
      600    0.188    0.000   37.704    0.063 merge_split.py:730(update_overlap_tracking)
 27814308   11.316    0.000   37.228    0.000 gap_fill_frontier.py:82(_pole_aligned_row_key)
 11322140   31.633    0.000   36.925    0.000 shape_base.py:378(stack)
      600    3.787    0.006   36.692    0.061 erosion.py:904(_coastal_openness)
    67800   10.095    0.000   36.393    0.001 plates.py:1233(set_fields_on_plate)
  2519264    0.679    0.000   35.877    0.000 faults.py:376(length_km)
  2519264    5.612    0.000   35.198    0.000 faults.py:427(_polyline_length_km)
      600    1.803    0.003   34.295    0.057 geology.py:148(apply_resource_formation)
     1200   18.393    0.015   34.131    0.028 hydrology.py:668(lake_components)
  1392867   18.764    0.000   34.018    0.000 gap_fill_frontier.py:234(_claim_row_points)
      660    0.389    0.001   33.347    0.051 hydrology.py:634(sample_is_ocean)
      600    0.002    0.000   33.183    0.055 biomes.py:1028(smooth_biome_field)
     1318    0.173    0.000   32.955    0.025 hydrology.py:616(_nearest_hydro_node_idx)
    18320    0.218    0.000   31.803    0.002 torque.py:269(basal_drag_coefficients)
      600    0.623    0.001   30.409    0.051 climate.py:1374(compute_humidity)
  4819145    8.002    0.000   30.302    0.000 _methods.py:115(_mean)
 49418399    7.354    0.000   30.281    0.000 {built-in method builtins.min}
      600    6.277    0.010   29.556    0.049 climate.py:774(_land_swirl_current)
 30515250    5.953    0.000   29.260    0.000 fromnumeric.py:3620(round)
