         9266571789 function calls (8887106715 primitive calls) in 6283.373 seconds

   Ordered by: internal time
   List reduced from 4082 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      150 1286.006    8.573 2149.464   14.330 magma_transport.py:185(_weighted_destination_pairs)
    83855   10.864    0.000   10.864    0.000 {method 'sort' of 'numpy.ndarray' objects}
  4408304   10.785    0.000   18.490    0.000 rheology.py:79(yield_excess)
100412122   10.756    0.000   43.424    0.000 plates.py:1169(<genexpr>)
 98472022   10.730    0.000   10.730    0.000 elevation_lines.py:501(elevation)
      600   10.606    0.018  643.970    1.073 erosion.py:1120(apply_erosion)
      600   10.317    0.017   14.980    0.025 faults.py:712(reconcile_faults)
      659   10.197    0.015   11.530    0.017 hydrology.py:587(_ocean_node_tree)
    67800   10.095    0.000   36.393    0.001 plates.py:1233(set_fields_on_plate)
     3000   10.088    0.003   11.455    0.004 plates.py:1388(cached_node_position_tree)
    18320   10.013    0.001   46.343    0.003 faults.py:1239(fault_influence)
   588154    9.772    0.000   22.768    0.000 numeric.py:1563(cross)
121102041    9.720    0.000    9.720    0.000 {method 'items' of 'dict' objects}
  1774638    9.703    0.000  122.171    0.000 faults.py:507(_emit_boundary_fault_run)
102119469    9.353    0.000    9.399    0.000 {built-in method builtins.isinstance}
 20209282    9.223    0.000   15.123    0.000 plates.py:843(add_segment)
  7311434    9.196    0.000    9.196    0.000 geometry.py:349(to_local)
   771037    9.176    0.000   14.068    0.000 elevation_lines.py:609(masked)
  6457962    9.127    0.000    9.127    0.000 {method 'astype' of 'numpy.ndarray' objects}
    16770    9.030    0.001  197.651    0.012 lithosphere_plate.py:1726(_fill_corner_notch_frontier)
179651430    8.830    0.000    8.830    0.000 lakes.py:393(find)
  1467865    8.808    0.000   13.904    0.000 rheology.py:386(apply_rift_magmatic_thickening)
 38188584    8.269    0.000   22.724    0.000 plates.py:925(<lambda>)
  2584460    8.220    0.000  433.669    0.000 threading.py:651(wait)
  4819145    8.002    0.000   30.302    0.000 _methods.py:115(_mean)
  9365996    7.734    0.000   20.390    0.000 fromnumeric.py:38(_wrapit)
  2381787    7.568    0.000    7.568    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
   219377    7.540    0.000   20.932    0.000 plates.py:607(get_node_kdtree)
